Comparison (previous),Model,Loss,Accuracy,Memory,CPU Time,Observations
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-0.716591247795784,,,,"Accuracy, memory and CPU time not present due to error writing to log file"
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-0.61806916489668,0.618069145899493,937996288,18.14,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.305580569159114,0.694419440704422,938844160,18.18,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.479551704363512,0.520448301788655,939286528,43.07,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.823979100675874,0.176020922755186,941334528,42.55,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.486005357052551,0.513994651139033,940695552,139.48,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-0.806312887358328,0.806312870563129,940163072,136.75,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.53130220984188,0.468697796699054,940113920,129.5,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-0.503454728602585,0.503454712143073,802156544,64.28,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",0.515677278662039,0.484322729687473,20807036928,3540.78,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-0.670921733091751,0.670921717557417,20788047872,3565.73,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-1.05916591643873,1.05916588782794,20780617728,13958.38,
,"InputLayer (None, 176, 256, 1) 
       ZeroPadding2D (None, 180, 260, 1) 
              Conv2D (None, 178, 258, 32)
             Dropout (None, 178, 258, 32)
              Conv2D (None, 176, 256, 64)
             Dropout (None, 176, 256, 64)
               Dense (None, 176, 256, 16)
               Dense (None, 176, 256, 1)",-1.16964824919856,,,,"Accuracy, memory and CPU time not present due to error writing to log file"
